FID,Name,Address,City,Zipcode,geom
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_644d,THE GODDARD SCHOOL - COLUMBIA,410-531-1511,COLUMBIA,21044,POINT (1345835.1713441515 556182.6702947933)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_644e,RAINBOW CHRISTIAN LEARNING CENTER,301-821-7214,COLUMBIA,21045,POINT (1361001.0220586818 569930.5637204023)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_644f,COLUMBIA ACADEMY SCHOOL,410-312-7413,COLUMBIA,21046,POINT (1348454.2218660414 550823.4063371615)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6450,CLARLEN NURSERY,410-465-7405,ELLICOTT CITY,21042,POINT (1353141.5291806674 592252.050289241)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6451,KREATIVE KIDZ LLC,888-382-1241,ELLICOTT CITY,21042,POINT (1351476.2707753088 587980.61857989)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6453,CLEMENS CROSSING ELEM SAS,410-964-1297,COLUMBIA,21044,POINT (1348282.1354086862 556326.6610040088)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6455,THE KIDS CONNECTION INC,410-992-6820,COLUMBIA,21045,POINT (1363734.2115573888 566951.5364254736)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6456,HAMMOND ELEMENTARY SAS,301-725-2115,LAUREL,20723,POINT (1346825.8391301162 539546.1827635801)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6458,KINDER CARE LEARNING CTR 1482,410-730-5757,COLUMBIA,21044,POINT (1347294.6869271959 564189.6658505407)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6459,CELEBREE LEARNING CTR,410-461-5557,ELLICOTT CITY,21042,POINT (1353239.5716351129 587929.9877004301)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_645a,RUNNING BROOK CHILDRENS NURSERY,410-997-4662,COLUMBIA,21044,POINT (1352866.4249801335 568648.1098834461)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_645b,LONGFELLOW ELEMENTARY SAS,410-964-1398,COLUMBIA,21044,POINT (1345890.1921842583 568118.095301354)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_645c,BELLOWS SPRING ELEM PREK,410-313-5057,ELLICOTT CITY,21043,POINT (1372825.2347288565 559999.5947451774)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_645d,BET YELADIM PRESCHOOL,410-997-7378,COLUMBIA,21045,POINT (1362846.8541786459 568490.9492922901)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_645f,CRADLEROCK ELEMENTARY SAS,410-381-0430,COLUMBIA,21045,POINT (1356882.653643883 555563.9785076355)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6460,ST PETERS EPISCOPAL SCHOOL,410-461-7283,ELLICOTT CITY,21043,POINT (1366294.1439425682 583810.741293502)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6462,COLUMBIA MONTESSORI SCHOOL,410-772-8353,COLUMBIA,21044,POINT (1347721.6837661094 566641.0198757222)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6463,GORMAN CROSSING ELEM PREK,410-880-5900,LAUREL,20723,POINT (1352149.398074487 538486.4462634389)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6465,JOY IN LEARNING COLUMBIA,410-740-2999,COLUMBIA,21045,POINT (1362434.1978778453 562703.5178395724)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6466,HORIZON,410-774-5888,CLARKSVILLE,21029,POINT (1328628.2815928955 559984.083550892)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6467,THE GODDARD SCHOOL @ COLUMBIA 100,410-730-1500,COLUMBIA,21045,POINT (1364689.4669941356 570448.8717407696)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6469,LOVE OF LEARNING MONTESSORI SCHOOL,410-715-9600,COLUMBIA,21045,POINT (1363195.709718046 570167.6215953303)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_646a,BRYANT WOODS MONTESSORI,410-730-7525,COLUMBIA,21044,POINT (1350150.2099959275 566511.3697046196)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_646b,COLUMBIA ACADEMY PRESCHOOL 4,410-203-9608,ELLICOTT CITY,21043,POINT (1369790.6012657348 561636.7574023963)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_646c,THUNDER HILL ELEM SAS,410-964-1497,COLUMBIA,21045,POINT (1359206.1134822206 569009.2573126574)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_646d,BETHANY LANE BAPTIST CHURCH CCC,410-461-3393,ELLICOTT CITY,21042,POINT (1352399.0405032693 590513.3332090591)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_646e,EMMANUEL UNITED METHODIST PRESCHOOL,301-725-5178,LAUREL,20723,POINT (1344792.4093585114 536470.8689984647)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_646f,PS EMPLOYEES CDP @ OAKLAND MILLS S,410-888-9040,COLUMBIA,21045,POINT (1357881.2233590118 561565.3473758748)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6470,SWANSFIELD ELEM BASC,410-964-1488,COLUMBIA,21044,POINT (1343862.323029473 564527.6928203455)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6471,BRYANT WOODS ELEM SAS,410-964-1294,COLUMBIA,21044,POINT (1349955.2957432088 566105.4446768109)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6472,WAVERLY ES EXT RECREATION PROG,410-313-2633,ELLICOTT CITY,21043,POINT (1349495.2278674226 596714.59161875)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6473,GAN ISRAEL PRESCHOOL,410-740-2424,COLUMBIA,21044,POINT (1351262.6260238304 558833.6211973834)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6474,CRADLEROCK ELEM PREK,410-313-7601,COLUMBIA,21045,POINT (1356882.653643883 555563.9785076355)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6475,LA PETITE CHILD CARE CENTER,410-740-5546,COLUMBIA,21045,POINT (1364623.6175844334 570944.9372938597)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6476,THE LITTLE LIGHTHOUSE,410-750-0660,ELLICOTT CITY,21042,POINT (1361933.4497000652 585754.0305398254)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6477,PATUXENT SQUARE CHILD CARE & LC,301-776-7722,LAUREL,20723,POINT (1359358.2987846436 527223.5632279704)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6478,CRADLEROCK CHILDREN CENTER,410-381-0906,COLUMBIA,21045,POINT (1356265.717840984 553810.6282252977)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6479,LONGFELLOW NURSERY SCHOOL,410-591-1319,CLARKSVILLE,21029,POINT (1334156.9980314942 557275.7704958502)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_647a,MANOR WOODS EXTD REC PROGRAM,410-313-7244,ELLICOTT CITY,21042,POINT (1336731.5636188297 591238.8473719561)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_647b,ATHOLTON ELEM BASC,410-715-3116,COLUMBIA,21046,POINT (1351105.4654326744 553286.4669240679)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_647c,FOLLY QUARTER NEW STUDENT UNION,410-313-5898,ELLICOTT CITY,21042,POINT (1316923.4758523141 582544.9693070037)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_647e,VETERANS ES RECREATIONAL LICENSED CC,410-313-1687,ELLICOTT CITY,21043,POINT (1365306.1101329916 578188.3723611045)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_647f,TALBOTT SPRINGS ELEM SAS,410-964-1492,COLUMBIA,21045,POINT (1356652.61970599 563234.703077837)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6480,BETHEL CHRISTIAN PRESCHOOL,410-465-1192,ELLICOTT CITY,21043,POINT (1364282.9566382407 577986.4341713509)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6481,FOREST RIDGE EXT REC PROGRAM,410-880-5857,LAUREL,20723,POINT (1357724.355431899 534826.9750682539)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6482,GLEN MAR EARLY LEARNING CENTER,410-461-2859,ELLICOTT CITY,21043,POINT (1368513.708045598 573671.688183618)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6484,ILCHESTER ELEM PREK,410-313-2524,ELLICOTT CITY,21043,POINT (1376378.1762123452 569838.9598749054)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6485,FIRST PRESBYTERIAN CHURCH,410-884-3500,COLUMBIA,21045,POINT (1359065.0494134363 572338.3108031588)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6486,KINDER CARE LEARNING CTR,410-290-0928,COLUMBIA,21046,POINT (1367889.748305664 552227.9010800993)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6488,GUILFORD ELEM PREK,410-880-5930,COLUMBIA,21046,POINT (1360600.364983649 547322.2663893051)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_648a,CHILDREN & COMPANY,410-992-4644,COLUMBIA,21045,POINT (1363734.2115573888 566951.5364254736)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_648b,VETERANS EARLY LEARNING CENTER,410-313-4712,ELLICOTT CITY,21043,POINT (1365306.1101329916 578188.3723611045)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_648c,PS EMPLOYEE CDP @ ATHOLTON HIGH SCHOOL,410-888-9040,COLUMBIA,21044,POINT (1346179.3442588618 554094.2196830818)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6490,COLUMBIA ACADEMY PRESCHL 1,410-992-0484,COLUMBIA,21045,POINT (1360350.1372267806 571612.2113121756)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6494,RUNNING BROOK ELEMENTARY BASC,410-964-1409,COLUMBIA,21044,POINT (1352685.2659374417 568966.8210264049)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6495,ATHOLTON ADVENTIST ACADEMY,410-740-2425,COLUMBIA,21044,POINT (1349430.549113893 555711.7738494116)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6496,RUNNING BROOK ELEM PREK,410-313-6893,COLUMBIA,21044,POINT (1352685.2659374417 568966.8210264049)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6497,CLARKSVILLE ELEM SAS,301-596-9849,CLARKSVILLE,21029,POINT (1332420.3295996143 565228.3305395772)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6498,STEVENS FOREST ELEMENTARY BASC,410-964-1476,COLUMBIA,21045,POINT (1356243.76803775 560207.9715438796)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6499,WISHING WELL LEARNING CENTER,443-683-5228,COLUMBIA,21045,POINT (1362551.2634950937 562610.1580098168)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_649b,YMCA CHILD CARE @ OWEN BROWN,410-290-6505,COLUMBIA,21045,POINT (1359382.0045721363 555100.3986633319)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_649c,PS EMPLOYEES CDP @ LONG REACH,410-888-9040,COLUMBIA,21045,POINT (1365833.7834027389 560609.7992750847)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_649d,TALBOTT SPRINGS ELEM PREK,410-313-6915,COLUMBIA,21045,POINT (1356652.61970599 563234.703077837)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_649e,RESURRECTION-ST PAUL EDUCARE,410-461-9111,ELLICOTT CITY,21042,POINT (1360567.8792748626 588416.102676054)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_649f,KINDER CARE LEARNING CTR,410-730-8449,COLUMBIA,21044,POINT (1345281.4509745666 560798.2749188546)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a0,CELEBRATION CHRISTIAN ACADEMY,410-997-2384,COLUMBIA,21045,POINT (1364325.9782525795 560521.7073981053)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a1,CHILDTIME LEARNING CENTER,410-480-9212,ELLICOTT CITY,21043,POINT (1369585.443771507 572098.0336237565)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a2,HOWARD COMMUNITY COLLEGE CLC,443-518-1360,COLUMBIA,21044,POINT (1346400.012947375 564257.5639085448)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a3,CAN-TEEN CLUB @ BONNIE BRANCH MS,410-313-2632,ELLICOTT CITY,21043,POINT (1376690.4487463555 570278.5412676731)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a5,DUNLOGGIN MIDDLE SAS,410-461-1419,ELLICOTT CITY,21042,POINT (1359907.6291935816 579026.2695165599)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a6,HILLTOP CHILD CARE CENTER,443-535-8505,CLARKSVILLE,21029,POINT (1331043.34527673 563438.104587806)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a8,ST LOUIS EARLY LEARNING CENTER,410-531-6664,CLARKSVILLE,21029,POINT (1328221.4785729572 560398.4958359513)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64a9,POINTERS RUN ELEM EXT REC PROG,410-313-7277,CLARKSVILLE,21029,POINT (1333199.4012824022 555111.5198969705)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64aa,GORMAN CROSSING ELEM EXTENDED REC PROGRAM,410-313-7275,LAUREL,20723,POINT (1352149.398074487 538486.4462634389)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ab,EAST COLUMBIA PRESCHOOL,410-290-9166,COLUMBIA,21045,POINT (1357386.6211261374 556143.4533130152)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ac,MT HEBRON PRESBY CHURCH NURSERY  SCHOOL,410-461-2773,ELLICOTT CITY,21042,POINT (1360115.1280001544 596861.5089683967)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ad,LITTLE STARS LEARNING CENTER,410-992-3999,COLUMBIA,21044,POINT (1345376.566788581 568089.4142251281)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b0,OUR LADY OF PERPETUAL HELP,410-744-4251,ELLICOTT CITY,21043,POINT (1377905.5898533938 572494.3007381422)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b2,CHILDRENS TIME PRESCHOOL,410-964-1534,COLUMBIA,21046,POINT (1352068.6227985858 550765.1661925805)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b4,ED-U-CARE LEARNING CENTER,410-997-2633,COLUMBIA,21044,POINT (1341097.818478152 560390.8865708302)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b6,ATHOLTON ELEM PREK,410-313-6853,COLUMBIA,21046,POINT (1351105.4654326744 553286.4669240679)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b7,KNOWLEDGE BEGINNINGS,301-725-6500,LAUREL,20723,POINT (1342701.324770412 544556.5911818116)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b8,ANGELS AFTER CARE OLPH,410-744-1133,ELLICOTT CITY,21043,POINT (1377905.5898533938 572494.3007381422)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64b9,TRIADELPHIA RIDGE ELEM EXTD REC PROGRAM,410-313-5470,ELLICOTT CITY,21042,POINT (1318097.6439933155 582589.4542415581)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ba,GLOBAL CHILDREN MONTESSORI SCHOOL,410-241-5771,ELLICOTT CITY,21043,POINT (1368654.7721143821 572933.5894668669)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64bb,NORTHFIELD ELEMENTARY SAS,410-461-4349,ELLICOTT CITY,21042,POINT (1360389.646872602 578798.5768910118)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64bc,COLUMBIA ACADEMY PRSCHL 3,410-312-9790,COLUMBIA,21046,POINT (1348056.1987673969 550752.2889746831)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64be,DASHER GREEN HEADSTART,410-313-6210,COLUMBIA,21045,POINT (1356718.4691156922 555329.2619450525)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64bf,CHILDS GARDEN LEARNING CENTER,410-884-5477,COLUMBIA,21046,POINT (1350190.8902979214 552900.7357152344)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c1,SWANSFIELD ELEM PREK,410-313-6907,COLUMBIA,21044,POINT (1343862.323029473 564527.6928203455)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c4,WORTHINGTON ELEM BASC,410-461-5916,ELLICOTT CITY,21043,POINT (1370297.2027243772 574824.1991854286)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c5,LONGFELLOW ELEM PREK,410-313-6879,COLUMBIA,21044,POINT (1345890.1921842583 568118.095301354)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c6,WILDE LAKE CHILDRENS NURSERY,410-997-4856,COLUMBIA,21044,POINT (1347768.8026770519 566744.9156110302)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c8,OUR LADY OF PERPETUAL HELP PRESCHOOL,410-744-4251,ELLICOTT CITY,21043,POINT (1377905.5898533938 572494.3007381422)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64c9,JULIA BROWN MONTESSORI,301-498-0604,LAUREL,20723,POINT (1357714.9901825192 525573.230688811)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ca,ELLICOTT CITY HEAD START,410-313-2750,ELLICOTT CITY,21043,POINT (1367129.4071216355 592021.1383592185)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64cb,S.T.A.R.S. LEARNING CENTER,301-498-5285,LAUREL,20723,POINT (1357530.904499396 530273.1225572912)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64cd,OAKLAND MILLS NURSERY SCHOOL,410-997-4024,COLUMBIA,21045,POINT (1360167.8075279163 569050.2302786943)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ce,TRINITY PRESCHOOL & EXTENDED DAY,410-455-9825,ELLICOTT CITY,21043,POINT (1379029.4197789785 568840.3901597766)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64cf,POINTERS RUN ELEM PREK,410-313-7142,CLARKSVILLE,21029,POINT (1333199.4012824022 555111.5198969705)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d0,LA PETITE CHILD CARE CENTER,410-381-4576,COLUMBIA,21046,POINT (1348692.4503971417 546299.112894554)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d1,FIRM FOUNDATION PRESCHOOL,410-505-1006,ELLICOTT CITY,21043,POINT (1368298.8926379469 567971.7632797934)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d2,JULIA BROWN MONTESSORI,410-730-5056,COLUMBIA,21045,POINT (1354892.5381506602 559426.2658847034)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d3,APPLE TREE CHILDCARE,410-799-9445,COLUMBIA,21045,POINT (1368749.5952643533 559617.9608329476)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d4,CHILDRENS MANOR MONTESSORI SCHL & DC,410-461-6070,ELLICOTT CITY,21043,POINT (1366316.0937458023 576324.6877345099)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d6,CHILDREN OF AMERICA ELLICOTT CITY,443-459-3606,ELLICOTT CITY,21043,POINT (1371738.8658007912 577408.1300221438)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d7,STEVENS FOREST NURSERY SCHOOL,410-997-0808,COLUMBIA,21045,POINT (1356350.297749446 559701.3700852371)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64d9,ILCHESTER EXTENDED RECREATION PROGRAM,410-313-2696,ELLICOTT CITY,21043,POINT (1376378.1762123452 569838.9598749054)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64da,LAUREL WOODS EXTD REC PROGRAM,410-880-5860,LAUREL,20723,POINT (1357149.8559152526 528468.5560674071)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64db,TRIADELPHIA RIDGE EARLY LEARNING CENTER,410-313-5471,ELLICOTT CITY,21042,POINT (1318097.6439933155 582589.4542415581)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64dc,GLENELG COUNTRY SCHOOL EXT'D DAY PROG,410-531-7329,ELLICOTT CITY,21042,POINT (1323151.074025886 577279.6505072138)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64de,CHILDTIME CHILDRENS CENTER,410-309-4020,COLUMBIA,21045,POINT (1361802.6288727901 551985.5752523951)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e0,GOOD BEGINNINGS CHILD CARE CENTER,301-776-6670,LAUREL,20723,POINT (1348422.321485341 540719.7655764953)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e1,NURTURING NEST MONTESSORI,410-772-6378,COLUMBIA,21045,POINT (1356086.0221185077 561850.1094898315)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e2,YOUNG SCHOOL EARLY ED PROGRAM,410-381-6098,COLUMBIA,21046,POINT (1348693.9137173574 549525.1486418769)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e4,CAN-TEEN CLUB @ PATAPSCO MS,410-313-4633,ELLICOTT CITY,21043,POINT (1364085.1157450909 594172.8044042441)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e5,WATERLOO ELEM PREK,410-313-5014,COLUMBIA,21045,POINT (1369630.5140341476 561122.2540145896)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e6,LAUREL WOODS ELEM PREK,410-880-5960,LAUREL,20723,POINT (1357149.8559152526 528468.5560674071)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e7,ELLICOTT MILLS MS-STUDENT UNION PROGRAM,410-313-2735,ELLICOTT CITY,21043,POINT (1365970.4575108762 576711.2969354728)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64e8,WATERLOO ELEM SAS,410-799-7088,COLUMBIA,21045,POINT (1369630.5140341476 561122.2540145896)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_64ea,ROGER CARTER ELC,410-313-2749,ELLICOTT CITY,21043,POINT (1367616.6927534319 584925.4986337499)
